[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[14:06:15] GPU2: util=20% mem=35015MiB free=10370MiB | nb84=3788MiB
[14:07:15] GPU2: util=5% mem=35015MiB free=10370MiB | nb84=3788MiB
[14:08:16] GPU2: util=19% mem=35015MiB free=10370MiB | nb84=3788MiB
[14:09:17] GPU2: util=3% mem=35015MiB free=10370MiB | nb84=3788MiB
[14:10:18] GPU2: util=20% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:11:18] GPU2: util=98% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:11:18] 🟢 Training aktif (util=98%)
[14:12:19] GPU2: util=6% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:13:20] GPU2: util=3% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:14:20] GPU2: util=6% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:15:21] GPU2: util=3% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:16:21] GPU2: util=6% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:17:21] GPU2: util=6% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:18:22] GPU2: util=16% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:19:22] GPU2: util=18% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:20:22] GPU2: util=9% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:21:22] GPU2: util=5% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:22:23] GPU2: util=7% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:23:24] GPU2: util=8% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:24:24] GPU2: util=19% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:25:25] GPU2: util=74% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:25:25] 🟢 Training aktif (util=74%)
[14:26:25] GPU2: util=6% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:27:26] GPU2: util=4% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:28:27] GPU2: util=20% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:29:27] GPU2: util=5% mem=35017MiB free=10368MiB | nb84=3788MiB
[14:30:27] GPU2: util=4% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:31:28] GPU2: util=6% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:32:29] GPU2: util=20% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:33:30] GPU2: util=6% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:34:30] GPU2: util=3% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:35:31] GPU2: util=4% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:36:31] GPU2: util=56% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:36:31] 🟢 Training aktif (util=56%)
[14:37:32] GPU2: util=6% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:38:32] GPU2: util=4% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:39:32] GPU2: util=15% mem=35029MiB free=10356MiB | nb84=3788MiB
[14:40:33] GPU2: util=38% mem=35031MiB free=10354MiB | nb84=3788MiB
[14:41:34] GPU2: util=7% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:42:34] GPU2: util=8% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:43:34] GPU2: util=17% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:44:34] GPU2: util=3% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:45:35] GPU2: util=10% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:46:36] GPU2: util=22% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:47:36] GPU2: util=18% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:48:36] GPU2: util=18% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:49:37] GPU2: util=15% mem=35007MiB free=10378MiB | nb84=3788MiB
[14:50:38] GPU2: util=31% mem=35033MiB free=10352MiB | nb84=3788MiB
[14:51:39] GPU2: util=22% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:52:39] GPU2: util=4% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:53:39] GPU2: util=33% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:54:40] GPU2: util=18% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:55:41] GPU2: util=29% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:56:42] GPU2: util=9% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:57:42] GPU2: util=17% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:58:43] GPU2: util=22% mem=35035MiB free=10350MiB | nb84=3788MiB
[14:59:43] GPU2: util=8% mem=35035MiB free=10350MiB | nb84=3788MiB
[15:00:44] GPU2: util=3% mem=35035MiB free=10350MiB | nb84=3788MiB
[15:01:45] GPU2: util=7% mem=35035MiB free=10350MiB | nb84=3788MiB
[15:02:46] GPU2: util=4% mem=35035MiB free=10350MiB | nb84=3788MiB
[15:03:46] GPU2: util=18% mem=35043MiB free=10342MiB | nb84=3788MiB
[15:04:47] GPU2: util=4% mem=35047MiB free=10338MiB | nb84=3788MiB
